Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
445,880,726,-608.15,19.89,19.42
446,882,726,-607.86,8.46,14.21
447,884,728,-606.12,18.52,24.04
448,886,728,-603.63,28.80,32.16
449,888,728,-599.97,18.53,37.43
450,890,730,-592.04,34.55,34.88
451,892,732,-593.94,43.17,27.78
452,894,734,-591.59,48.54,27.20
453,896,736,-586.45,22.76,23.99
454,898,736,-585.78,36.67,23.99
455,900,736,-584.18,28.14,31.37
456,902,736,-580.05,17.35,38.04
457,904,738,-575.60,13.27,35.84
458,906,740,-572.41,34.34,29.94
459,908,740,-568.89,44.34,30.16
460,910,740,-567.09,55.64,27.96
461,912,742,-564.49,60.22,29.63
462,914,744,-560.42,49.62,31.24
463,916,746,-555.93,42.01,31.12
464,918,748,-553.01,57.59,29.08
465,920,750,-548.41,66.82,27.94
466,922,752,-542.47,37.08,28.70
467,924,754,-538.94,25.06,28.91
468,926,756,-536.06,41.43,28.51
469,928,756,-533.51,30.66,28.79
470,930,756,-530.65,33.05,29.96
471,932,756,-527.87,38.86,31.37
472,934,756,-524.97,40.45,33.01
473,936,758,-521.09,36.46,29.84
474,938,758,-517.60,26.92,24.95
475,940,758,-515.91,27.23,24.06
476,942,758,-514.02,42.95,30.26
477,944,758,-510.85,47.67,37.93
478,946,760,-501.07,45.53,37.46
479,948,760,-498.04,41.23,30.31
480,950,760,-496.33,36.07,28.56
481,952,760,-492.24,35.45,32.55
482,954,760,-489.71,40.65,34.59
483,956,760,-487.17,34.12,32.29
484,958,760,-485.11,34.71,29.41
485,960,760,-482.68,30.03,30.66
486,962,760,-478.79,19.48,35.08
487,962,758,-479.23,46.25,35.29
488,962,756,-480.71,33.15,32.96
489,962,754,-481.77,37.54,30.36
490,964,752,-479.72,58.27,24.75
491,964,750,-479.37,62.68,24.98
492,964,748,-477.87,52.15,30.11
493,964,746,-480.01,48.86,34.35
494,964,744,-482.79,59.25,34.74
495,966,742,-480.15,63.80,33.52
496,966,740,-480.98,67.06,35.94
497,966,738,-480.60,66.13,37.22
498,968,736,-473.01,70.61,32.30
499,970,734,-471.05,79.60,33.09
500,970,732,-473.85,81.04,34.25
501,972,730,-470.64,58.29,33.54
502,974,728,-466.60,71.50,33.16
503,974,726,-465.01,64.80,33.50
504,976,724,-465.89,57.86,30.63
505,976,722,-466.19,48.92,33.80
506,976,720,-466.18,30.23,37.54
507,976,718,-464.64,39.93,40.71
508,976,716,-464.99,29.44,41.18
509,976,714,-464.63,37.20,39.30
510,976,712,-464.63,32.81,37.06
511,976,710,-464.18,22.12,35.04
512,976,708,-463.98,12.02,32.88
513,976,706,-460.78,33.02,29.77
514,976,704,-457.28,44.63,27.39
515,976,702,-458.41,47.06,32.55
