Step,Row_px,Col_px,Elevation_m,Slope_TMC_deg (A*_safety),Slope_LOLA_deg (reference)
1403,484,440,-1080.29,35.35,16.93
1404,486,440,-1081.60,7.29,16.65
1405,488,440,-1080.93,25.53,27.16
1406,490,438,-1074.11,17.58,37.00
1407,492,438,-1065.85,10.54,33.35
1408,494,438,-1067.03,15.94,29.16
1409,496,438,-1066.15,11.14,28.94
1410,498,438,-1064.05,10.18,29.67
1411,500,438,-1061.28,22.33,28.47
1412,502,440,-1063.09,56.68,33.92
1413,504,440,-1058.05,65.04,34.14
1414,506,440,-1054.49,67.19,28.30
1415,508,440,-1054.67,66.34,24.15
1416,510,442,-1051.15,52.53,35.39
1417,512,442,-1046.06,47.87,34.96
1418,514,444,-1046.39,28.26,27.07
1419,516,446,-1044.85,37.52,24.75
1420,518,446,-1043.30,35.62,27.09
1421,520,446,-1039.67,37.06,34.74
1422,522,448,-1038.22,35.36,32.96
1423,524,448,-1037.42,28.44,34.00
1424,526,450,-1035.14,54.67,36.63
1425,528,450,-1029.13,59.71,36.24
1426,530,450,-1024.55,59.24,30.93
1427,532,450,-1023.38,55.46,31.97
1428,534,450,-1020.68,53.62,38.60
1429,536,450,-1016.33,55.47,39.48
1430,538,452,-1017.29,63.77,38.61
1431,540,452,-1013.08,65.79,34.23
1432,542,452,-1009.92,67.59,28.62
1433,544,454,-1006.69,28.18,27.97
1434,546,454,-1006.38,28.61,24.46
1435,548,452,-1002.83,63.55,25.32
1436,550,452,-999.94,41.73,30.82
1437,552,452,-996.65,13.21,32.60
1438,554,452,-994.43,39.40,27.92
1439,556,454,-992.72,59.32,19.86
1440,558,456,-989.25,16.60,14.64
